X,Y,ELEV,ELEVATION
645045.500,4474484.090,1445.469971,1445.47
645044.810,4474483.840,1445.410034,1445.41
645044.190,4474483.610,1445.310059,1445.31
645043.560,4474483.340,1445.140015,1445.14
645042.940,4474483.080,1445.079956,1445.08
645042.380,4474482.830,1444.979980,1444.98
645041.810,4474482.610,1444.910034,1444.91
645041.250,4474482.430,1444.869995,1444.87
645040.750,4474482.270,1444.989990,1444.99
645040.250,4474482.130,1445.189941,1445.19
645039.690,4474482.010,1445.199951,1445.2
645039.120,4474481.900,1445.319946,1445.32
645038.560,4474481.810,1445.199951,1445.2
645038.000,4474481.730,1444.910034,1444.91
645037.440,4474481.600,1445.030029,1445.03
645036.870,4474481.490,1445.000000,1445
645036.250,4474481.390,1444.910034,1444.91
645035.750,4474481.300,1444.819946,1444.82
645035.190,4474481.250,1444.910034,1444.91
645034.560,4474481.190,1444.979980,1444.98
645033.940,4474481.130,1445.069946,1445.07
645033.190,4474481.010,1445.160034,1445.16
645032.630,4474480.910,1445.089966,1445.09
645031.940,4474480.800,1445.119995,1445.12
645031.310,4474480.680,1445.099976,1445.1
645030.690,4474480.550,1445.069946,1445.07
645030.000,4474480.400,1445.109985,1445.11
645029.310,4474480.240,1445.089966,1445.09
645028.630,4474480.100,1445.170044,1445.17
645028.000,4474479.970,1445.079956,1445.08
645027.250,4474479.790,1445.069946,1445.07
645026.560,4474479.620,1445.060059,1445.06
645025.880,4474479.460,1444.959961,1444.96
645025.190,4474479.270,1444.849976,1444.85
645024.500,4474479.100,1445.079956,1445.08
645023.750,4474478.950,1445.209961,1445.21
645022.940,4474478.820,1445.260010,1445.26
645022.130,4474478.730,1445.290039,1445.29
645021.310,4474478.650,1445.300049,1445.3
645020.560,4474478.580,1445.280029,1445.28
645019.810,4474478.520,1445.219971,1445.22
645019.060,4474478.460,1445.219971,1445.22
645018.370,4474478.380,1445.250000,1445.25
645017.620,4474478.310,1445.219971,1445.22
645016.940,4474478.280,1445.180054,1445.18
645016.190,4474478.230,1444.949951,1444.95
645015.500,4474478.160,1445.040039,1445.04
645014.810,4474478.090,1445.000000,1445
645014.060,4474478.030,1444.959961,1444.96
645013.440,4474477.940,1444.880005,1444.88
645012.750,4474477.850,1444.819946,1444.82
645012.190,4474477.760,1444.770020,1444.77
645011.560,4474477.680,1444.829956,1444.83
645011.060,4474477.630,1444.800049,1444.8
